experiment_id,run_id,config_id,stratum_type,stratum_value,queries,retrieval_failures,generation_attempts,generation_failures,recall_at_1,recall_at_5,recall_at_10,mrr,bleu1,token_f1,bertscore_f1
paper_pilot_cuda_final_v3,run_02,full_rrf_chrono,overall,all,45,0,45,0,0.466667,0.755556,0.844444,0.598051,0.132437,0.200696,0.862081
paper_pilot_cuda_final_v3,run_02,full_rrf_chrono,question_type,multimodal,11,0,11,0,0.090909,0.636364,0.727273,0.326623,0.079805,0.138260,0.847942
paper_pilot_cuda_final_v3,run_02,full_rrf_chrono,question_type,transcript_dependent,16,0,16,0,0.500000,0.812500,0.937500,0.634549,0.164796,0.230234,0.870436
paper_pilot_cuda_final_v3,run_02,full_rrf_chrono,question_type,visual_dependent,18,0,18,0,0.666667,0.777778,0.833333,0.731482,0.135838,0.212596,0.863295
paper_pilot_cuda_final_v3,run_02,full_rrf_chrono,domain,lecture,15,0,15,0,0.333333,0.666667,0.733333,0.479630,0.120556,0.186132,0.861385
paper_pilot_cuda_final_v3,run_02,full_rrf_chrono,domain,tutorial,15,0,15,0,0.333333,0.600000,0.800000,0.484524,0.113979,0.168130,0.854714
paper_pilot_cuda_final_v3,run_02,full_rrf_chrono,domain,visually_dynamic,15,0,15,0,0.733333,1.000000,1.000000,0.830000,0.162777,0.247827,0.870144
paper_pilot_cuda_final_v3,run_02,image_only,overall,all,45,0,45,0,0.288889,0.444444,0.622222,0.376076,0.060123,0.104274,0.834135
paper_pilot_cuda_final_v3,run_02,image_only,question_type,multimodal,11,0,11,0,0.181818,0.363636,0.545455,0.279040,0.051647,0.093838,0.828104
paper_pilot_cuda_final_v3,run_02,image_only,question_type,transcript_dependent,16,0,16,0,0.062500,0.312500,0.562500,0.195560,0.056388,0.098141,0.838474
paper_pilot_cuda_final_v3,run_02,image_only,question_type,visual_dependent,18,0,18,0,0.555556,0.611111,0.722222,0.595833,0.068622,0.116103,0.833962
paper_pilot_cuda_final_v3,run_02,image_only,domain,lecture,15,0,15,0,0.200000,0.266667,0.400000,0.252778,0.060367,0.103080,0.831431
paper_pilot_cuda_final_v3,run_02,image_only,domain,tutorial,15,0,15,0,0.266667,0.400000,0.600000,0.330079,0.046880,0.084375,0.832631
paper_pilot_cuda_final_v3,run_02,image_only,domain,visually_dynamic,15,0,15,0,0.400000,0.666667,0.866667,0.545370,0.073121,0.125367,0.838342
paper_pilot_cuda_final_v3,run_02,raw_score_fusion,overall,all,45,0,45,0,0.511111,0.733333,0.911111,0.634101,0.118325,0.182906,0.859296
