experiment_id,run_id,config_id,scope,cache_state,metric,unit,observations,failures,mean,median,standard_deviation,p95
paper_pilot_cuda_final_v3,all_runs,whisper_medium,video_preprocessing,warm,asr_ms,milliseconds,27,0,11968.300537,11664.661996,2089.290864,15283.762379
paper_pilot_cuda_final_v3,all_runs,whisper_medium,video_preprocessing,warm,frame_extraction_ms,milliseconds,27,0,2.576791,2.177951,0.877380,4.784043
paper_pilot_cuda_final_v3,all_runs,whisper_medium,video_preprocessing,warm,text_embedding_ms,milliseconds,27,0,579.909319,508.543056,156.912434,866.816183
paper_pilot_cuda_final_v3,all_runs,whisper_medium,video_preprocessing,warm,image_embedding_ms,milliseconds,27,0,5079.065976,2401.477739,4137.498666,13611.676476
paper_pilot_cuda_final_v3,all_runs,whisper_medium,video_preprocessing,warm,indexing_ms,milliseconds,27,0,2.605828,2.340178,0.799196,4.684259
paper_pilot_cuda_final_v3,all_runs,whisper_medium,video_preprocessing,warm,total_pipeline_ms,milliseconds,27,0,18755.819221,18079.072516,5203.304525,31161.377670
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,query,not_applicable,query_embedding_ms,milliseconds,45,0,15.882202,12.660358,14.059093,25.274988
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,query,not_applicable,retrieval_ms,milliseconds,45,0,0.404224,0.357718,0.110854,0.613950
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,query,not_applicable,generation_ms,milliseconds,45,0,6977.984073,5844.978747,3457.771772,14391.675677
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,query,not_applicable,total_pipeline_ms,milliseconds,45,0,6996.992326,5861.584253,3462.432968,14498.840887
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,video_preprocessing,warm,ingestion_ms,milliseconds,9,0,44.222337,39.516460,19.697169,75.532654
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,video_preprocessing,warm,audio_extraction_ms,milliseconds,9,0,1072.531093,1123.616986,185.233554,1343.923011
