experiment_id,run_id,config_id,query_id,video_id,domain,question_type,recall_at_1,recall_at_5,recall_at_10,mrr,retrieval_success,generation_success,bleu1,token_f1,bertscore_f1,error
paper_pilot_cuda_final_v3,run_01,text_only,q015,vid_003,lecture,transcript_dependent,0.000000,1.000000,1.000000,0.500000,true,true,0.159420,0.247191,0.872517,
paper_pilot_cuda_final_v3,run_01,text_only,q016,vid_004,tutorial,visual_dependent,1.000000,1.000000,1.000000,1.000000,true,true,0.538462,0.700000,0.932979,
paper_pilot_cuda_final_v3,run_01,text_only,q017,vid_004,tutorial,transcript_dependent,0.000000,0.000000,0.000000,0.000000,true,true,0.235294,0.296296,0.870892,
paper_pilot_cuda_final_v3,run_01,text_only,q018,vid_004,tutorial,multimodal,0.000000,1.000000,1.000000,0.250000,true,true,0.043011,0.080402,0.839839,
paper_pilot_cuda_final_v3,run_01,text_only,q019,vid_004,tutorial,visual_dependent,0.000000,0.000000,1.000000,0.125000,true,true,0.076923,0.121212,0.852102,
paper_pilot_cuda_final_v3,run_01,text_only,q020,vid_004,tutorial,multimodal,0.000000,0.000000,0.000000,0.000000,true,true,0.138889,0.208333,0.864414,
paper_pilot_cuda_final_v3,run_01,text_only,q021,vid_005,tutorial,transcript_dependent,0.000000,1.000000,1.000000,0.500000,true,true,0.155172,0.257143,0.896870,
paper_pilot_cuda_final_v3,run_01,text_only,q022,vid_005,tutorial,visual_dependent,1.000000,1.000000,1.000000,1.000000,true,true,0.153061,0.260870,0.873223,
paper_pilot_cuda_final_v3,run_01,text_only,q023,vid_005,tutorial,multimodal,1.000000,1.000000,1.000000,1.000000,true,true,0.119565,0.205607,0.871177,
paper_pilot_cuda_final_v3,run_01,text_only,q024,vid_005,tutorial,visual_dependent,0.000000,1.000000,1.000000,0.333333,true,true,0.120000,0.169014,0.863732,
paper_pilot_cuda_final_v3,run_01,text_only,q025,vid_005,tutorial,transcript_dependent,0.000000,0.000000,1.000000,0.166667,true,true,0.134615,0.186667,0.850523,
paper_pilot_cuda_final_v3,run_01,text_only,q026,vid_006,tutorial,transcript_dependent,1.000000,1.000000,1.000000,1.000000,true,true,0.140000,0.212121,0.892531,
paper_pilot_cuda_final_v3,run_01,text_only,q027,vid_006,tutorial,visual_dependent,1.000000,1.000000,1.000000,1.000000,true,true,0.076923,0.100000,0.821439,
paper_pilot_cuda_final_v3,run_01,text_only,q028,vid_006,tutorial,multimodal,0.000000,0.000000,1.000000,0.100000,true,true,0.130952,0.203704,0.869760,
